"filename", "language", "Java", "Markdown", "XML", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/ui/event/Focus.java", "Java", 55, 0, 0, 0, 9, 64
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/ui/event/Hover.java", "Java", 85, 0, 0, 0, 19, 104
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/ui/event/Mouse.java", "Java", 8, 0, 0, 0, 4, 12
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/ui/graphic/RoundedBorderLabel.java", "Java", 38, 0, 0, 0, 7, 45
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/ui/graphic/RoundedLabel.java", "Java", 43, 0, 0, 0, 14, 57
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/AllCasesPanel.java", "Java", 205, 0, 0, 0, 39, 244
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/App.java", "Java", 44, 0, 0, 6, 11, 61
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/AssignedCaseDetailPanel.java", "Java", 560, 0, 0, 0, 60, 620
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/AssignedCasesPanel.java", "Java", 298, 0, 0, 0, 52, 350
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/CitizenDetails.java", "Java", 434, 0, 0, 0, 72, 506
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/CitizenList.java", "Java", 301, 0, 0, 1, 50, 352
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/CreateFirPanel.java", "Java", 323, 0, 0, 0, 45, 368
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/CriminalList.java", "Java", 301, 0, 0, 1, 50, 352
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/Dashboard.java", "Java", 296, 0, 0, 5, 52, 353
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/ListFirPanel.java", "Java", 272, 0, 0, 0, 51, 323
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/LoginPanel.java", "Java", 226, 0, 0, 0, 42, 268
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/OICDashboard.java", "Java", 258, 0, 0, 1, 36, 295
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/PoliceDashboard.java", "Java", 243, 0, 0, 0, 36, 279
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/PoliceList.java", "Java", 294, 0, 0, 0, 50, 344
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/RegisterPanel.java", "Java", 296, 0, 0, 5, 51, 352
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/ResetPassword.java", "Java", 163, 0, 0, 0, 32, 195
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/UpdateFir.java", "Java", 329, 0, 0, 2, 45, 376
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/ViewFirPanel.java", "Java", 430, 0, 0, 0, 53, 483
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/widget/DateTimeWidget.java", "Java", 53, 0, 0, 0, 14, 67
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/views/widget/ImageViewerWidget.java", "Java", 23, 0, 0, 0, 6, 29
"Total", "-", 8854, 10, 9, 42, 1348, 10263
